"","height","age_median","age_min","age_max","plus","minus"
"1",0,816.79,813.16,820.24,3.45,3.63
"2",1,816.77,813.14,820.22,3.45,3.63
"3",2,816.76,813.13,820.21,3.45,3.63
"4",3,816.74,813.11,820.19,3.45,3.63
"5",4,816.73,813.1,820.18,3.45,3.63
"6",5,816.71,813.08,820.16,3.45,3.63
"7",6,816.7,813.07,820.14,3.45,3.63
"8",7,816.68,813.05,820.13,3.45,3.63
"9",8,816.66,813.04,820.11,3.45,3.63
"10",9,816.65,813.02,820.1,3.45,3.63
"11",10,816.63,813,820.08,3.45,3.63
"12",11,816.62,812.99,820.06,3.45,3.63
"13",12,816.6,812.97,820.05,3.45,3.63
"14",13,816.58,812.96,820.03,3.45,3.63
"15",14,816.57,812.94,820.01,3.45,3.63
"16",15,816.55,812.93,820,3.45,3.63
"17",16,816.54,812.91,819.98,3.45,3.62
"18",17,816.52,812.9,819.97,3.45,3.62
"19",18,816.5,812.88,819.95,3.45,3.62
"20",19,816.49,812.86,819.93,3.44,3.62
"21",20,816.47,812.85,819.92,3.44,3.62
"22",21,816.46,812.83,819.9,3.44,3.62
"23",22,816.44,812.82,819.88,3.44,3.62
"24",23,816.42,812.8,819.87,3.44,3.62
"25",24,816.41,812.79,819.85,3.44,3.62
"26",25,816.39,812.77,819.84,3.44,3.62
"27",26,816.38,812.76,819.82,3.44,3.62
"28",27,816.36,812.74,819.8,3.44,3.62
"29",28,816.34,812.72,819.79,3.44,3.62
"30",29,816.33,812.71,819.77,3.44,3.62
"31",30,816.31,812.69,819.75,3.44,3.62
"32",31,816.3,812.68,819.74,3.44,3.62
"33",32,816.28,812.66,819.72,3.44,3.62
"34",33,816.27,812.65,819.7,3.44,3.62
"35",34,816.25,812.63,819.69,3.44,3.62
"36",35,816.23,812.61,819.67,3.44,3.62
"37",36,816.22,812.6,819.66,3.44,3.62
"38",37,816.2,812.58,819.64,3.44,3.62
"39",38,816.19,812.57,819.62,3.44,3.62
"40",39,816.17,812.55,819.61,3.44,3.62
"41",40,816.15,812.53,819.59,3.44,3.62
"42",41,816.14,812.52,819.57,3.44,3.62
"43",42,816.12,812.5,819.56,3.44,3.62
"44",43,816.1,812.49,819.54,3.44,3.62
"45",44,816.09,812.47,819.52,3.44,3.62
"46",45,816.07,812.45,819.51,3.44,3.62
"47",46,816.06,812.44,819.49,3.43,3.62
"48",47,816.04,812.42,819.47,3.43,3.62
"49",48,816.02,812.4,819.46,3.43,3.62
"50",49,816.01,812.39,819.44,3.43,3.62
"51",50,815.99,812.37,819.43,3.43,3.62
"52",51,815.98,812.36,819.41,3.43,3.62
"53",52,815.96,812.34,819.39,3.43,3.62
"54",53,815.94,812.32,819.38,3.43,3.62
"55",54,815.93,812.31,819.36,3.43,3.62
"56",55,815.91,812.29,819.34,3.43,3.62
"57",56,815.89,812.28,819.33,3.43,3.62
"58",57,815.88,812.26,819.31,3.43,3.62
"59",58,815.86,812.24,819.29,3.43,3.62
"60",59,815.85,812.23,819.28,3.43,3.62
"61",60,815.83,812.21,819.26,3.43,3.62
"62",61,815.81,812.2,819.24,3.43,3.62
"63",62,815.8,812.18,819.23,3.43,3.62
"64",63,815.78,812.16,819.21,3.43,3.62
"65",64,815.76,812.15,819.19,3.43,3.62
"66",65,815.75,812.13,819.18,3.43,3.62
"67",66,815.73,812.11,819.16,3.43,3.62
"68",67,815.71,812.1,819.15,3.44,3.61
"69",68,815.7,812.09,819.13,3.44,3.61
"70",69,815.68,812.07,819.12,3.43,3.61
"71",70,815.67,812.05,819.1,3.43,3.61
"72",71,815.65,812.04,819.08,3.43,3.61
"73",72,815.63,812.02,819.07,3.43,3.61
"74",73,815.62,812.01,819.06,3.44,3.61
"75",74,815.6,812,819.04,3.44,3.61
"76",75,815.58,811.98,819.02,3.44,3.6
"77",76,815.57,811.96,819.01,3.44,3.6
"78",77,815.55,811.95,818.99,3.44,3.6
"79",78,815.54,811.93,818.97,3.44,3.6
"80",79,815.52,811.92,818.96,3.44,3.6
"81",80,815.5,811.9,818.94,3.44,3.6
"82",81,815.49,811.88,818.92,3.44,3.6
"83",82,815.47,811.87,818.91,3.44,3.6
"84",83,815.45,811.85,818.89,3.44,3.6
"85",84,815.44,811.84,818.87,3.43,3.6
"86",85,815.42,811.82,818.85,3.43,3.6
"87",86,815.4,811.8,818.84,3.43,3.6
"88",87,815.39,811.79,818.82,3.43,3.6
"89",88,815.37,811.77,818.8,3.43,3.6
"90",89,815.35,811.76,818.79,3.43,3.6
"91",90,815.34,811.74,818.77,3.43,3.6
"92",91,815.32,811.72,818.76,3.43,3.6
"93",92,815.3,811.71,818.74,3.44,3.6
"94",93,815.29,811.69,818.72,3.44,3.6
"95",94,815.27,811.67,818.71,3.44,3.6
"96",95,815.25,811.66,818.69,3.44,3.6
"97",96,815.24,811.64,818.67,3.44,3.6
"98",97,815.22,811.62,818.66,3.44,3.6
"99",98,815.21,811.61,818.64,3.44,3.6
"100",99,815.19,811.59,818.63,3.44,3.59
"101",100,815.17,811.57,818.6,3.43,3.61
"102",101,815.16,811.55,818.58,3.43,3.6
"103",102,815.14,811.53,818.57,3.43,3.6
"104",103,815.12,811.52,818.55,3.43,3.6
"105",104,815.11,811.48,818.51,3.4,3.63
"106",105,815.09,811.46,818.49,3.4,3.63
"107",106,815.07,811.45,818.48,3.4,3.62
"108",107,815.06,811.43,818.46,3.4,3.62
"109",108,815.04,811.42,818.44,3.4,3.62
"110",109,815.02,811.4,818.43,3.4,3.62
"111",110,815.01,811.38,818.41,3.4,3.62
"112",111,814.99,811.37,818.39,3.4,3.62
"113",112,814.97,811.35,818.38,3.4,3.62
"114",113,814.96,811.33,818.36,3.4,3.62
"115",114,814.94,811.32,818.34,3.4,3.62
"116",115,814.92,811.3,818.32,3.4,3.62
"117",116,814.91,811.29,818.31,3.4,3.62
"118",117,814.89,811.28,818.3,3.41,3.61
"119",118,814.87,811.26,818.28,3.41,3.61
"120",119,814.86,811.25,818.27,3.41,3.61
"121",120,814.84,811.23,818.25,3.41,3.61
"122",121,814.82,811.21,818.23,3.41,3.61
"123",122,814.81,811.19,818.21,3.41,3.61
"124",123,814.79,811.18,818.19,3.4,3.61
"125",124,814.77,811.16,818.18,3.4,3.61
"126",125,814.76,811.15,818.16,3.4,3.61
"127",126,814.74,811.13,818.14,3.4,3.61
"128",127,814.72,811.11,818.13,3.4,3.61
"129",128,814.71,811.1,818.11,3.4,3.61
"130",129,814.69,811.08,818.09,3.4,3.61
"131",130,814.67,811.06,818.08,3.4,3.61
"132",131,814.66,811.05,818.06,3.4,3.61
"133",132,814.64,811.03,818.04,3.4,3.61
"134",133,814.62,811.01,818.02,3.4,3.61
"135",134,814.61,811,818.01,3.4,3.61
"136",135,814.59,810.98,817.99,3.4,3.61
"137",136,814.57,810.97,817.98,3.41,3.6
"138",137,814.56,810.96,817.96,3.41,3.6
"139",138,814.54,810.94,817.95,3.41,3.6
"140",139,814.52,810.92,817.93,3.41,3.6
"141",140,814.5,810.91,817.91,3.41,3.6
"142",141,814.49,810.89,817.9,3.41,3.6
"143",142,814.47,810.87,817.88,3.41,3.6
"144",143,814.45,810.86,817.86,3.41,3.6
"145",144,814.44,810.84,817.84,3.41,3.6
"146",145,814.42,810.83,817.83,3.4,3.59
"147",146,814.4,810.81,817.81,3.4,3.59
"148",147,814.39,810.79,817.79,3.4,3.59
"149",148,814.37,810.78,817.77,3.4,3.59
"150",149,814.35,810.76,817.76,3.4,3.59
"151",150,814.34,810.74,817.74,3.4,3.59
"152",151,814.32,810.73,817.72,3.4,3.59
"153",152,814.3,810.71,817.7,3.4,3.59
"154",153,814.29,810.69,817.69,3.4,3.59
"155",154,814.27,810.67,817.67,3.4,3.59
"156",155,814.25,810.66,817.65,3.4,3.59
"157",156,814.23,810.64,817.63,3.4,3.59
"158",157,814.22,810.62,817.62,3.4,3.59
"159",158,814.2,810.61,817.6,3.4,3.59
"160",159,814.18,810.59,817.58,3.4,3.59
"161",160,814.17,810.57,817.56,3.4,3.59
"162",161,814.15,810.56,817.55,3.4,3.59
"163",162,814.13,810.54,817.53,3.4,3.59
"164",163,814.12,810.52,817.51,3.4,3.59
"165",164,814.1,810.51,817.5,3.4,3.59
"166",165,814.08,810.49,817.48,3.4,3.59
"167",166,814.07,810.48,817.46,3.4,3.59
"168",167,814.05,810.46,817.45,3.4,3.59
"169",168,814.03,810.44,817.43,3.4,3.59
"170",169,814.01,810.42,817.41,3.4,3.59
"171",170,814,810.41,817.39,3.4,3.59
"172",171,813.98,810.39,817.38,3.4,3.59
"173",172,813.96,810.37,817.36,3.4,3.59
"174",173,813.95,810.36,817.34,3.4,3.59
"175",174,813.93,810.34,817.33,3.4,3.59
"176",175,813.91,810.32,817.31,3.4,3.59
"177",176,813.89,810.31,817.29,3.4,3.59
"178",177,813.88,810.29,817.27,3.4,3.59
"179",178,813.86,810.27,817.26,3.4,3.59
"180",179,813.84,810.26,817.24,3.4,3.59
"181",180,813.83,810.24,817.22,3.4,3.59
"182",181,813.81,810.23,817.21,3.4,3.58
"183",182,813.79,810.21,817.19,3.4,3.58
"184",183,813.77,810.19,817.18,3.4,3.58
"185",184,813.76,810.18,817.16,3.4,3.58
"186",185,813.74,810.16,817.14,3.4,3.58
"187",186,813.72,810.14,817.12,3.4,3.58
"188",187,813.71,810.13,817.1,3.4,3.58
"189",188,813.69,810.11,817.09,3.4,3.58
"190",189,813.67,810.09,817.07,3.4,3.58
"191",190,813.66,810.08,817.05,3.4,3.58
"192",191,813.64,810.06,817.03,3.4,3.58
"193",192,813.62,810.04,817.02,3.4,3.58
"194",193,813.6,810.03,817,3.4,3.58
"195",194,813.59,810.01,816.98,3.4,3.58
"196",195,813.57,809.99,816.97,3.4,3.58
"197",196,813.55,809.98,816.95,3.4,3.58
"198",197,813.54,809.95,816.92,3.39,3.58
"199",198,813.52,809.93,816.91,3.39,3.58
"200",199,813.5,809.92,816.89,3.39,3.58
"201",200,813.48,809.9,816.87,3.39,3.58
"202",201,813.47,809.88,816.85,3.39,3.58
"203",202,813.45,809.87,816.83,3.39,3.58
"204",203,813.43,809.85,816.82,3.39,3.58
"205",204,813.41,809.83,816.8,3.39,3.58
"206",205,813.4,809.82,816.78,3.39,3.58
"207",206,813.38,809.8,816.77,3.39,3.58
"208",207,813.36,809.78,816.75,3.38,3.58
"209",208,813.35,809.77,816.73,3.38,3.58
"210",209,813.33,809.75,816.71,3.38,3.58
"211",210,813.31,809.73,816.69,3.38,3.58
"212",211,813.29,809.72,816.68,3.38,3.58
"213",212,813.28,809.7,816.66,3.38,3.57
"214",213,813.26,809.68,816.64,3.38,3.57
"215",214,813.24,809.67,816.63,3.38,3.57
"216",215,813.22,809.65,816.61,3.38,3.57
"217",216,813.21,809.63,816.59,3.38,3.57
"218",217,813.19,809.62,816.57,3.38,3.57
"219",218,813.17,809.6,816.55,3.38,3.57
"220",219,813.15,809.58,816.54,3.38,3.57
"221",220,813.14,809.56,816.52,3.38,3.57
"222",221,813.12,809.55,816.5,3.38,3.57
"223",222,813.1,809.53,816.48,3.38,3.57
"224",223,813.09,809.51,816.46,3.38,3.57
"225",224,813.07,809.5,816.45,3.38,3.57
"226",225,813.05,809.48,816.43,3.38,3.57
"227",226,813.03,809.46,816.41,3.38,3.57
"228",227,813.02,809.44,816.39,3.38,3.57
"229",228,813,809.43,816.38,3.38,3.57
"230",229,812.98,809.41,816.36,3.38,3.57
"231",230,812.96,809.39,816.34,3.38,3.57
"232",231,812.94,809.37,816.32,3.38,3.57
"233",232,812.93,809.36,816.3,3.38,3.57
"234",233,812.91,809.34,816.29,3.38,3.57
"235",234,812.89,809.32,816.27,3.38,3.57
"236",235,812.87,809.31,816.25,3.38,3.57
"237",236,812.86,809.29,816.23,3.38,3.57
"238",237,812.84,809.27,816.22,3.38,3.57
"239",238,812.82,809.25,816.2,3.38,3.57
"240",239,812.8,809.24,816.18,3.38,3.57
"241",240,812.79,809.22,816.16,3.38,3.57
"242",241,812.77,809.2,816.14,3.38,3.57
"243",242,812.75,809.18,816.13,3.38,3.57
"244",243,812.73,809.17,816.11,3.38,3.57
"245",244,812.72,809.15,816.09,3.38,3.57
"246",245,812.7,809.13,816.07,3.38,3.57
"247",246,812.68,809.11,816.06,3.38,3.57
"248",247,812.66,809.1,816.04,3.38,3.56
"249",248,812.64,809.08,816.02,3.38,3.56
"250",249,812.63,809.06,816,3.38,3.56
"251",250,812.61,809.04,815.99,3.38,3.56
"252",251,812.59,809.03,815.97,3.38,3.56
"253",252,812.57,809.04,815.99,3.41,3.53
"254",253,812.56,809.03,815.97,3.41,3.53
"255",254,812.54,809.01,815.95,3.41,3.53
"256",255,812.52,808.99,815.93,3.41,3.53
"257",256,812.5,808.98,815.91,3.41,3.53
"258",257,812.48,808.96,815.9,3.41,3.52
"259",258,812.47,808.94,815.88,3.41,3.52
"260",259,812.45,808.92,815.86,3.41,3.53
"261",260,812.43,808.91,815.84,3.41,3.53
"262",261,812.41,808.89,815.82,3.41,3.53
"263",262,812.4,808.87,815.8,3.41,3.52
"264",263,812.38,808.85,815.78,3.41,3.52
"265",264,812.36,808.84,815.77,3.41,3.52
"266",265,812.34,808.82,815.75,3.41,3.52
"267",266,812.32,808.8,815.73,3.4,3.52
"268",267,812.31,808.78,815.71,3.4,3.52
"269",268,812.29,808.77,815.69,3.4,3.52
"270",269,812.27,808.75,815.67,3.4,3.52
"271",270,812.25,808.73,815.66,3.4,3.52
"272",271,812.24,808.71,815.64,3.4,3.52
"273",272,812.22,808.64,815.56,3.35,3.58
"274",273,812.2,808.62,815.55,3.34,3.58
"275",274,812.18,808.6,815.53,3.34,3.58
"276",275,812.17,808.59,815.51,3.34,3.58
"277",276,812.15,808.57,815.49,3.34,3.58
"278",277,812.13,808.55,815.47,3.34,3.58
"279",278,812.11,808.53,815.45,3.34,3.58
"280",279,812.09,808.52,815.44,3.34,3.58
"281",280,812.08,808.5,815.42,3.34,3.58
"282",281,812.06,808.48,815.4,3.34,3.58
"283",282,812.04,808.46,815.38,3.34,3.58
"284",283,812.02,808.45,815.36,3.34,3.58
"285",284,812.01,808.43,815.35,3.34,3.58
"286",285,811.99,808.45,815.37,3.38,3.53
"287",286,811.97,808.44,815.35,3.38,3.53
"288",287,811.95,808.42,815.33,3.38,3.53
"289",288,811.93,808.4,815.31,3.38,3.53
"290",289,811.91,808.38,815.3,3.38,3.53
"291",290,811.9,808.37,815.28,3.38,3.53
"292",291,811.88,808.35,815.26,3.38,3.53
"293",292,811.86,808.33,815.24,3.38,3.53
"294",293,811.84,808.31,815.22,3.38,3.53
"295",294,811.83,808.3,815.2,3.38,3.53
"296",295,811.81,808.28,815.18,3.38,3.53
"297",296,811.79,808.26,815.17,3.38,3.53
"298",297,811.77,808.24,815.15,3.38,3.53
"299",298,811.75,808.23,815.13,3.38,3.53
"300",299,811.73,808.21,815.12,3.38,3.52
"301",300,811.72,808.19,815.1,3.38,3.52
"302",301,811.7,808.18,815.08,3.38,3.52
"303",302,811.68,808.16,815.06,3.38,3.52
"304",303,811.66,808.14,815.04,3.38,3.52
"305",304,811.64,808.12,815.02,3.38,3.52
"306",305,811.63,808.11,815,3.38,3.52
"307",306,811.61,808.09,814.99,3.38,3.52
"308",307,811.59,808.07,814.97,3.38,3.52
"309",308,811.57,808.05,814.95,3.38,3.52
"310",309,811.55,808.03,814.93,3.38,3.52
"311",310,811.54,808.02,814.91,3.38,3.52
"312",311,811.52,808,814.89,3.37,3.52
"313",312,811.5,807.98,814.87,3.37,3.52
"314",313,811.48,807.96,814.85,3.37,3.52
"315",314,811.46,807.94,814.84,3.37,3.52
"316",315,811.44,807.92,814.82,3.37,3.52
"317",316,811.43,807.91,814.8,3.37,3.52
"318",317,811.41,807.89,814.78,3.37,3.52
"319",318,811.39,807.87,814.76,3.37,3.52
"320",319,811.37,807.85,814.74,3.37,3.52
"321",320,811.35,807.83,814.72,3.37,3.52
"322",321,811.33,807.82,814.7,3.37,3.52
"323",322,811.32,807.8,814.68,3.37,3.52
"324",323,811.3,807.78,814.67,3.37,3.52
"325",324,811.28,807.76,814.65,3.37,3.52
"326",325,811.26,807.75,814.63,3.37,3.52
"327",326,811.24,807.73,814.61,3.37,3.52
"328",327,811.23,807.71,814.59,3.37,3.52
"329",328,811.21,807.69,814.57,3.37,3.52
"330",329,811.19,807.67,814.55,3.37,3.52
"331",330,811.17,807.66,814.54,3.36,3.52
"332",331,811.15,807.64,814.52,3.36,3.52
"333",332,811.13,807.62,814.5,3.36,3.51
"334",333,811.12,807.6,814.48,3.36,3.51
"335",334,811.1,807.58,814.46,3.36,3.51
"336",335,811.08,807.57,814.44,3.36,3.51
"337",336,811.06,807.55,814.42,3.36,3.51
"338",337,811.04,807.53,814.41,3.36,3.51
"339",338,811.02,807.51,814.39,3.36,3.51
"340",339,811.01,807.49,814.37,3.36,3.51
"341",340,810.99,807.47,814.35,3.36,3.51
"342",341,810.97,807.46,814.33,3.36,3.51
"343",342,810.95,807.44,814.31,3.36,3.51
"344",343,810.93,807.42,814.3,3.36,3.51
"345",344,810.91,807.4,814.28,3.36,3.51
"346",345,810.9,807.38,814.26,3.36,3.51
"347",346,810.88,807.36,814.24,3.36,3.51
"348",347,810.86,807.37,814.24,3.38,3.49
"349",348,810.84,807.35,814.22,3.38,3.49
"350",349,810.82,807.33,814.21,3.38,3.49
"351",350,810.8,807.31,814.19,3.38,3.49
"352",351,810.79,807.3,814.17,3.38,3.49
"353",352,810.77,807.28,814.15,3.38,3.49
"354",353,810.75,807.26,814.13,3.38,3.49
"355",354,810.73,807.24,814.11,3.38,3.49
"356",355,810.71,807.22,814.09,3.38,3.49
"357",356,810.69,807.2,814.07,3.38,3.49
"358",357,810.68,807.19,814.05,3.38,3.49
"359",358,810.66,807.17,814.04,3.38,3.49
"360",359,810.64,807.13,814,3.36,3.51
"361",360,810.62,807.11,813.98,3.36,3.51
"362",361,810.6,807.1,813.96,3.36,3.51
"363",362,810.58,807.08,813.94,3.36,3.51
"364",363,810.56,807.06,813.92,3.36,3.51
"365",364,810.55,807.04,813.9,3.36,3.51
"366",365,810.53,807.02,813.88,3.36,3.51
"367",366,810.51,807,813.87,3.36,3.51
"368",367,810.49,806.99,813.85,3.36,3.5
"369",368,810.47,806.97,813.83,3.36,3.5
"370",369,810.45,806.95,813.81,3.36,3.5
"371",370,810.43,806.93,813.79,3.36,3.5
"372",371,810.42,806.91,813.77,3.36,3.5
"373",372,810.4,806.89,813.75,3.36,3.5
"374",373,810.38,806.88,813.73,3.36,3.5
"375",374,810.36,806.86,813.72,3.36,3.5
"376",375,810.34,806.84,813.7,3.36,3.5
"377",376,810.32,806.82,813.68,3.36,3.5
"378",377,810.3,806.8,813.66,3.36,3.5
"379",378,810.28,806.78,813.64,3.36,3.5
"380",379,810.26,806.76,813.62,3.36,3.5
"381",380,810.25,806.75,813.6,3.36,3.5
"382",381,810.23,806.73,813.58,3.36,3.5
"383",382,810.21,806.71,813.56,3.36,3.5
"384",383,810.19,806.69,813.55,3.36,3.5
"385",384,810.17,806.64,813.5,3.33,3.53
"386",385,810.15,806.63,813.48,3.33,3.53
"387",386,810.13,806.61,813.46,3.33,3.53
"388",387,810.12,806.59,813.44,3.33,3.52
"389",388,810.1,806.57,813.42,3.33,3.52
"390",389,810.08,806.55,813.4,3.33,3.52
"391",390,810.06,806.54,813.38,3.33,3.52
"392",391,810.04,806.52,813.37,3.33,3.52
"393",392,810.02,806.5,813.35,3.33,3.52
"394",393,810,806.48,813.33,3.33,3.52
"395",394,809.98,806.46,813.31,3.33,3.52
"396",395,809.96,806.45,813.29,3.33,3.52
"397",396,809.94,806.43,813.27,3.33,3.52
"398",397,809.93,806.41,813.25,3.33,3.52
"399",398,809.91,806.39,813.23,3.33,3.52
"400",399,809.89,806.37,813.22,3.33,3.52
"401",400,809.87,806.35,813.2,3.33,3.52
"402",401,809.85,806.34,813.18,3.33,3.52
"403",402,809.83,806.32,813.16,3.33,3.51
"404",403,809.81,806.3,813.14,3.32,3.52
"405",404,809.79,806.28,813.12,3.32,3.52
"406",405,809.77,806.26,813.1,3.32,3.52
"407",406,809.76,806.24,813.08,3.32,3.52
"408",407,809.74,806.22,813.06,3.32,3.52
"409",408,809.72,806.2,813.04,3.32,3.52
"410",409,809.7,806.18,813.02,3.32,3.52
"411",410,809.68,806.16,813,3.32,3.52
"412",411,809.66,806.15,812.98,3.32,3.52
"413",412,809.64,806.13,812.96,3.32,3.52
"414",413,809.62,806.11,812.94,3.31,3.52
"415",414,809.6,806.09,812.92,3.31,3.52
"416",415,809.59,806.07,812.9,3.31,3.52
"417",416,809.57,806.05,812.88,3.31,3.52
"418",417,809.55,806.03,812.86,3.31,3.52
"419",418,809.53,806.01,812.84,3.31,3.52
"420",419,809.51,805.99,812.82,3.31,3.52
"421",420,809.49,805.97,812.8,3.31,3.52
"422",421,809.47,805.95,812.78,3.31,3.52
"423",422,809.45,805.94,812.76,3.31,3.52
"424",423,809.43,805.92,812.74,3.31,3.51
"425",424,809.41,805.9,812.72,3.31,3.51
"426",425,809.39,805.88,812.7,3.31,3.51
"427",426,809.37,805.86,812.68,3.31,3.51
"428",427,809.35,805.84,812.66,3.31,3.51
"429",428,809.34,805.82,812.64,3.31,3.51
"430",429,809.32,805.8,812.63,3.31,3.52
"431",430,809.3,805.85,812.68,3.38,3.44
"432",431,809.28,805.83,812.66,3.38,3.44
"433",432,809.26,805.82,812.64,3.38,3.44
"434",433,809.24,805.8,812.62,3.38,3.44
"435",434,809.22,805.78,812.6,3.38,3.44
"436",435,809.2,805.76,812.58,3.38,3.44
"437",436,809.18,805.74,812.56,3.38,3.44
"438",437,809.16,805.72,812.54,3.38,3.44
"439",438,809.14,805.7,812.52,3.38,3.44
"440",439,809.12,805.68,812.5,3.38,3.44
