height,d13C
0.2,3.52
0.5,3.93
1.3,6.96
1.7,4.77
3.4,4.01
4,4.27
5,3.65
5.4,4.5
6.1,4.18
6.6,3.92
9.1,3.89
9.3,4.8
9.8,5.95
11.6,3.28
12.9,3.04
13.2,8.4
13.5,2.7
15.9,4.35
16.3,4.33
17,3.61
19.8,4.89
21,4.16
22.2,6.45
23,4.23
25,6.1
25.1,3.49
30.4,2.33
30.7,5.23
32.7,4.44
33,6.15
38,5.55
41,5.56
41.5,4.06
44.9,6.4
47.4,3.83
50,6.57
50.5,6.5
54.3,3.4
60,3.7
62,3.29
62.9,2.4
63.9,2.99
64.5,3.21
67.8,5.73
70,3.34
71,4.6
73,3.84
79.6,3.59
81,5.18
82.1,3.11
87.6,2.55
89,3.3
89.1,2.95
96.6,2.54
98.6,2.22
99.6,2.2
102.2,1.78
109,2.66
116.9,1.68
120.1,2.11
128.8,1
132.3,3.03
134.5,3.07
139,2.97
140,2.92
146.9,4.71
147,3.19
153.4,3.9
156.4,1.99
160,2.84
161,4.26
162.9,2.56
164.1,3.27
168.6,3.02
174.1,4.7
175.4,3.6
179.5,2.15
182,4.81
183.4,3.95
183.6,3.84
188.1,3.2
191,2.54
192,3.08
196.1,3.82
200.6,1.78
202.7,1.66
202.7,1.79
205.1,2.41
208.4,3.29
208.6,3.59
208.9,3.52
209,3.61
209.3,3.49
209.6,4.15
209.8,4.02
210.3,4
210.6,3.99
210.9,3.75
211.1,4.06
213.5,2.28
213.8,3.76
213.9,4.37
214.3,4.37
214.9,4.19
215.2,4.9
215.7,4.23
216,1.98
216,4.69
216.7,4.77
217,3.13
217,4.95
217.6,4.98
218.6,4.83
219.6,4.07
219.6,5.32
220.6,5.22
221,5.25
222.2,5.36
222.4,2.25
223.5,5.54
223.7,4.8
225.6,5.57
225.7,2.29
226.7,5.43
227.2,3.82
228.6,3.85
230.3,5.32
231.5,4.1
232.2,5.9
232.6,4.54
234,4.77
234.5,5.67
235,5.36
237.1,6.05
238.7,5.99
241,6.08
241.3,5.63
241.7,5.27
243.4,6.48
248.1,5.42
248.3,6.43
250.1,6.23
254.4,6.65
255.1,6.15
257.8,6.83
262.4,4.87
281.7,6.97
291.5,6.63
305,7.21
314.6,7.52
315.5,4.76
317.2,5.5
318.5,6.72
322,6.55
323.7,6.94
325.3,7.27
329.2,7.42
330.7,5.63
334,6.77
334.6,6.77
335.1,7.76
335.4,5.62
337.9,5.95
340.9,6.93
344.3,6.17
345.6,8.07
349,6.37
349.3,7.67
352.3,6.61
355,7.55
355.5,6.21
356.1,6.65
356.6,7.37
359.1,6.78
361,6.65
361.9,7.56
362.7,6.79
363.8,7.63
366.7,6.55
367.8,7.12
368.4,7.46
371.3,7.57
372.7,6.26
372.9,6.89
373.6,7.61
377,7.1
378.3,6.29
378.6,7.38
380.7,6.8
381.5,6.14
383.5,5.86
384.9,6.49
387.6,7.53
389.4,7.73
391.5,6.4
392.2,7.41
392.5,6.51
393.2,7.45
394,7.09
394.7,6.86
395.2,6.56
397.1,7.13
399.3,6.66
399.6,6.62
399.7,6.49
400.5,6.15
402.1,7.14
402.9,6.73
404.8,6.42
405,6.1
405.6,7.56
408.3,6.03
409.4,5.92
409.9,6.31
410.2,4.17
411.4,7.07
411.6,7.34
411.8,6.1
413,6.37
414.4,6.54
414.4,7.27
417.5,7.44
417.7,6.83
417.7,7.08
418,6.05
418.9,7.07
420.6,6.35
420.9,6.65
421.8,6.36
422.5,6.61
425.2,6.94
425.7,6.18
425.8,6.38
426.1,5.63
426.4,7.13
427,7.58
427.2,7.06
427.3,5.62
428.5,6.22
428.8,5.79
430.4,7.1
430.6,6.56
431.1,7.84
432.4,6.57
433.1,5.43
434.2,6.84
434.5,6.2
434.5,7.22
434.7,6.89
435.8,6.98
437.1,5.84
437.9,6.79
438.3,6.8
438.4,6.78
438.5,7.07
440.2,6.53
440.8,6.68
440.9,6.04
441.2,6.53
442.2,5.26
443.2,5.79
444.1,6.42
444.4,6.97
445.13,0.17
445.4,6.2
445.8,6.06
445.9,6.01
446.1,6.03
446.2,5.84
446.5,6.74
447,5.96
448.2,5.83
449,3.73
449,6.34
449,6.35
449.6,5.32
450.5,6.45
450.9,6
451.2,6.21
451.55,0.47
451.7,6.1
452.1,4.71
452.2,6.25
452.4,5.25
453,5.2
453.7,5.55
454,0.6
454.1,5.77
454.4,0.33
454.6,5.27
455.2,6.13
455.3,4.97
455.7,0.16
455.8,5.8
456,0.25
456.3,5.9
456.4,-0.04
456.5,-0.19
456.7,4.67
456.7,6.2
456.7,6.23
456.8,6.41
457,-0.14
457,4.39
457.06,-0.77
457.8,-0.07
457.8,4.94
457.9,4.78
458.2,4.61
458.4,4.24
458.4,5.24
458.4,-0.22
458.6,6.65
458.7,-0.25
458.9,4.55
459.3,6.08
459.4,4.23
459.4,-0.3
459.6,4.76
459.9,4.47
460.1,4.57
460.1,4.62
460.2,3.62
460.2,4.44
460.5,5.65
460.6,4.76
460.6,4.82
460.7,3.82
460.7,3.85
460.7,4.79
460.8,-0.78
460.8,4.71
460.9,5.08
461,-0.79
461,4.27
461.1,5.35
461.2,5.23
461.3,5.1
461.4,4.88
461.4,-0.89
461.6,3.88
461.6,4.69
461.6,4.74
461.7,4.85
461.8,-0.6
461.8,4.87
462,1.17
462,4.15
462,4.23
462.1,2.89
462.1,4.55
462.1,5.2
462.3,-1.1
462.3,2.26
462.32,-0.53
462.5,-1.06
462.5,0.85
462.5,0.92
462.7,4.49
462.7,4.66
462.9,0.85
462.9,4.7
463,3.24
463.1,5.07
463.2,0.55
463.2,4.93
463.2,-1.15
463.3,2.73
463.4,1.22
463.5,0.73
463.7,0.72
463.9,-0.06
464,0.71
464.1,-1.16
464.1,0.21
464.3,-0.44
464.3,0.45
464.5,0.61
464.6,-1.22
464.8,0.41
465,-0.19
465.1,0.68
465.1,0.88
465.2,-1.1
465.4,-0.31
465.68,-0.47
465.7,-0.1
465.8,-1.21
465.8,-0.19
465.9,-0.27
466.2,-0.13
466.3,0.3
466.4,-1.36
466.5,-0.13
466.9,-0.62
467,-0.58
467,-0.56
467.2,-0.36
467.2,-0.27
467.2,-0.02
467.2,-1.46
467.3,-0.5
467.5,-0.58
467.58,-0.19
467.6,0.48
467.7,-0.49
467.93,-0.53
468,-0.94
468,-0.86
468.4,-0.58
468.4,-1.45
468.9,-0.34
468.9,-1.14
469,-1.2
469.2,-1.49
469.6,-1.14
469.8,-1.41
469.8,-0.37
470,-1.47
470.1,-0.5
470.2,-1.15
470.6,-1.25
470.66,-1.24
471,-1.08
471.4,-0.47
471.4,0.9
471.4,-1.45
471.5,-0.76
472,-1.09
472.03,-1.39
472.2,-0.59
472.3,-1.5
472.3,-0.88
472.5,-0.52
472.71,-0.19
473,-1.13
473.3,-1.3
473.5,-1.01
473.5,-0.77
473.98,-1.36
474,-1.28
474.18,-1.33
474.3,-0.6
474.5,-1.3
474.5,-0.55
474.6,-1.05
475.5,-0.17
475.7,-0.68
475.74,-0.27
476,-1.02
476.3,-0.61
476.8,-1.25
476.8,-0.89
476.95,-0.33
477,-1.11
477.1,-0.8
477.3,-1.49
477.7,-0.7
478.23,-0.4
478.3,-1.16
478.4,-0.54
478.8,-1.17
479.06,-1.3
479.2,-1.16
479.7,-0.77
480.2,-1.16
480.5,-0.97
480.62,-0.9
480.81,-1.37
481.2,-1.29
481.2,-0.95
481.7,-0.82
481.8,-0.87
482.5,-1.11
482.6,-1.29
483.2,-1.01
483.9,-1.22
484.1,-1
484.39,-0.11
484.4,-1.22
484.7,-1.23
484.7,-1.05
485.1,-1.06
485.3,-1.28
485.5,-1.14
485.7,-1.24
485.7,-1.16
486,-1.2
486.4,-1.16
486.6,-0.91
486.7,-1.26
487.1,-0.83
487.4,-0.86
487.55,-1.29
487.7,-1.04
487.8,-1.21
488.9,-1.37
489,-1.27
489.77,-0.08
489.89,-1.38
490.6,-1.29
491.6,-0.63
493.7,-1.16
494.2,-1.17
494.87,-1.31
495.4,-1.32
496.1,-1.25
497.3,-1
497.31,-1.38
497.47,0.23
498.1,-1.09
498.8,-0.86
499.3,-1.19
499.55,-1.31
500.9,-1.36
500.9,-1.35
501.1,-1.18
501.7,-1.37
502.5,-0.99
503.26,-1.34
503.6,-0.95
504.6,-1.22
504.73,-2.1
506.39,-1.34
506.71,0.15
508.73,-0.35
508.8,-1.42
509.8,-0.65
509.8,-1.12
509.9,-1.42
511.97,-0.13
512.05,-0.79
513.5,-1.4
513.9,-1.5
514.88,-1.15
516.9,-0.78
517.22,-1.4
517.35,-0.43
518.1,-1.33
520,-1.28
520.54,-0.82
521.2,-0.56
522.2,-0.59
523.64,-0.21
523.86,-0.51
524.2,-1.11
525.1,-0.41
526,-0.8
527.66,-0.61
529.32,-0.63
530.3,-0.05
530.44,-0.32
534.5,-1.75
534.9,-0.05
536.47,-0.21
536.6,-0.14
536.64,-0.78
538.79,-0.4
539.6,-0.11
541.6,-0.3
541.62,-0.4
542.6,-1.07
545.1,-0.57
545.72,-0.13
546.9,-1.03
548.26,-0.01
549.3,0.32
550.02,0.08
550.5,-0.46
550.8,-0.75
552.36,0.07
553.27,0.19
554.3,-0.44
555.8,-0.32
556.17,0.04
556.74,-0.13
557.8,-0.17
558.31,-0.12
559.2,-0.74
559.2,-0.43
559.69,-0.6
559.97,-0.59
562.1,-0.84
563.1,-0.55
563.41,0.15
564.75,-0.38
566.02,-0.4
568.17,-0.33
568.28,0
568.3,-0.33
569.83,-0.36
571.39,-0.57
572.1,-0.36
572.39,0.35
573.15,-0.58
574.1,-0.29
574.2,-0.19
575,-0.15
577.77,-0.12
579.2,-0.31
579.69,-0.35
580.96,-0.03
583.03,0.46
583.4,-0.08
584.3,0.11
585,-0.56
585.35,-0.04
586.8,-2.49
587.5,0
588.9,-0.67
589.7,-0.32
591.5,-0.3
593.65,-0.51
593.8,0.02
594.5,0.26
596.77,-1.51
596.8,-0.23
596.87,-0.35
597.8,0.25
599.21,-0.23
599.4,0.08
599.6,0.03
600,-0.78
601.89,0.22
603.31,0.15
603.7,-0.12
604.97,-0.82
606.5,-0.03
606.8,0.09
607.02,0.17
607.6,-0.31
608.43,0.55
608.97,0.38
610.92,0.04
612.58,0.34
613.4,0.26
614.4,-1.85
614.46,-0.01
615.02,-1.2
615.5,-1.48
616.1,0.21
616.49,0.27
618.83,0.08
619.7,-0.26
619.8,0.38
619.85,-0.04
620.68,0.55
621.4,0.57
622.6,-1.22
622.73,0.28
623.83,0.36
624.69,-0.48
625.2,0.14
626.34,2.12
627.03,0.03
628.39,-0.66
628.49,-0.95
630.5,-0.12
630.8,-0.31
631,-0.59
631.4,0.47
631.7,0.45
632,-2.4
632.4,-1.18
633.3,0.07
634.45,0.23
634.6,-0.47
636.27,0.12
636.5,-0.52
636.59,-0.88
637.5,0.69
637.96,-1.44
638.2,0.25
640.21,-1.51
640.4,-1.75
642.1,0.48
642.43,-0.11
644.5,-2.49
645.2,-1.6
645.89,0.26
646.65,-2.43
647.3,-0.31
647.7,-0.54
648.3,-0.19
648.5,-1.34
650.75,-1.53
650.9,0.18
651.9,-1.53
652.6,-0.49
652.7,-0.8
653.59,0.49
653.8,0.37
653.85,-0.71
653.87,-1.65
655.9,0.25
657.87,-1.54
657.9,-2.12
659.34,-1.66
659.49,-0.08
660,0.08
660,0.77
661.87,-1.42
663,-1.73
663.92,-1.25
665.26,-1.24
665.58,-0.36
667.54,-1.08
668.4,-0.7
669.59,-0.33
671.24,-0.65
671.55,-1.31
672,-1.37
672.83,-2.14
673.49,-1.15
675.15,-1.23
677.3,-2.2
677.5,-1.23
677.58,-0.83
679.5,-0.23
680.13,-2.31
680.9,-1.53
682.27,-2.15
683.35,-1.89
684.03,-2.67
685.69,-1.99
686.4,-1.33
687.2,-0.99
687.54,-1.42
690.7,-1.41
690.79,-1.88
690.96,-2.23
693.1,-0.58
693.11,-2
695.16,-2
697.2,-1.25
697.21,-2.09
698.96,-1.89
700.72,-2.21
700.8,-3.23
702.77,-2.53
703.62,-2.35
704.2,-0.35
704.4,-1.4
705.21,-1.45
707.07,-1.45
709.41,-1.14
710.5,-0.78
710.8,-1.45
711.06,-2.1
711.75,-1.18
712.5,-0.46
713.24,-3.59
713.61,-1.78
714,-2.14
714.1,-0.64
715.5,-2.86
715.56,-1.59
715.7,-0.41
717.6,-2.11
717.6,-2.59
717.71,-1.38
718.1,-1.66
719.2,-0.92
719.46,-1.32
719.8,-4.75
720,-1.62
721.51,-1.29
722.2,1.86
723.17,-1.59
723.3,-0.8
724.7,-2.68
724.8,-1.43
725.32,-0.97
726.07,-3.02
727.1,-1.68
727.37,-1.33
727.5,-1.86
728,-2.17
728.15,-1.75
729,-2.37
729.91,-0.61
730,-3.38
731.3,-1.94
731.5,-1.05
731.86,0.24
732,0.42
733.25,-2.09
733.91,-1.35
735.3,-0.02
735.5,-1.7
735.9,-2.39
735.96,-1.14
736.59,-1.6
737.3,-1.49
738,-2.09
738.11,-1.95
738.7,-1.89
740.35,-0.74
740.5,-1.33
741.8,-2.03
743.18,-1.97
743.77,-2.24
743.9,-1.84
744.4,-2.21
745.3,-0.28
745.4,-0.94
745.52,-2.94
745.8,-2.91
747.3,-1.97
747.3,-2.66
748.1,-1.89
748.65,-2.38
749.16,-2.71
750.4,-2.72
751.97,-1.6
752.2,-3.43
752.3,-1.86
752.7,-2.15
752.8,-2.98
754.03,-3.07
754.7,-1.96
755.2,-2.84
755.6,0.13
755.8,-3.17
756.16,-2.13
756.3,-1.1
757.8,-1.25
758.4,-3.17
758.7,-2.02
758.9,-2.94
759.77,-1.81
760.4,-3.35
761,-2.45
761.3,-0.48
761.3,-0.47
762.3,-2.32
762.4,-2.72
762.51,-2.34
762.8,-4.48
763.78,-2.53
764.55,-1.12
766.5,-2.63
766.9,-2.41
767,-2.26
767.8,0.01
769.1,-1.01
769.4,-2.25
769.8,-2
770.32,-1.79
771.1,-1.98
771.2,-1.36
771.99,-1.39
772.1,-0.4
772.37,-2.05
773,0.56
774.12,-0.62
774.8,-1.59
774.8,-0.35
775.2,-1.77
775.88,-2.18
776.3,-1.49
777.25,-1.12
777.5,-1
777.73,-1.34
777.77,-1.87
777.9,-0.73
778.28,-0.88
778.32,-1.14
778.4,-1.19
778.41,-0.21
778.7,-1.1
778.92,-1.11
779,-0.97
779.18,-1.42
779.2,-0.42
779.56,-0.48
779.59,-0.55
779.88,2.03
781,-1.17
781,0.43
781.1,-1.13
782.6,-1.97
785.08,1.71
785.59,1.63
785.98,2.66
786.75,1.95
786.8,-1.18
787.3,2.08
787.6,1.71
787.7,1.77
787.9,2.27
788,1.77
788.4,-0.56
788.4,1.73
789,1.78
789.05,1.41
789.3,-1.13
789.5,2.01
790,2.06
790.1,-0.91
790.4,3.09
790.7,2.09
790.98,2.16
791,1.91
791,2.15
791.1,1.71
791.59,2.31
791.6,1.75
791.7,2.14
792.01,1.98
792.1,1.35
792.1,2.12
792.8,2.95
792.86,2.42
793.2,2.28
793.2,2.39
793.3,4.46
793.42,2.36
793.5,2.72
794,2.45
794.4,2.2
794.4,2.8
794.83,2.37
795,1.87
795.1,2.34
795.5,2.2
795.7,2.33
795.8,2.66
796.37,2.78
796.4,2.6
796.6,2.33
796.7,2.38
796.8,3.39
797.06,4.5
797.1,2.62
797.6,2.31
797.78,2.51
797.83,2.34
797.9,2.55
798.1,2.61
798.2,2.72
798.3,3.82
798.6,2.16
798.72,2.14
798.72,2.58
799,2.37
799.1,2.5
799.6,1.79
799.8,3.56
799.83,2.87
800.18,4.23
800.2,2.78
800.3,3.66
800.7,2.96
800.9,2.76
800.9,3.39
801,3.96
801.11,2.63
801.2,2.58
801.55,3.55
801.6,3.31
801.9,2.79
801.9,2.85
802,3.28
802.7,2.98
802.9,2.82
802.97,1.93
803,3.91
